"","Provincia","Act","code","Prov","1 Trim 1996","2 Trim 1996","3 Trim 1996","4 Trim 1996","1 Trim 1997","2 Trim 1997","3 Trim 1997","4 Trim 1997","1 Trim 1998","2 Trim 1998","3 Trim 1998","4 Trim 1998","1 Trim 1999","2 Trim 1999","3 Trim 1999","4 Trim 1999","1 Trim 2000","2 Trim 2000","3 Trim 2000","4 Trim 2000","1 Trim 2001","2 Trim 2001","3 Trim 2001","4 Trim 2001","1 Trim 2002","2 Trim 2002","3 Trim 2002","4 Trim 2002","1 Trim 2003","2 Trim 2003","3 Trim 2003","4 Trim 2003","1 Trim 2004","2 Trim 2004","3 Trim 2004","4 Trim 2004","1 Trim 2005","2 Trim 2005","3 Trim 2005","4 Trim 2005","1 Trim 2006","2 Trim 2006","3 Trim 2006","4 Trim 2006","1 Trim 2007","2 Trim 2007","3 Trim 2007","4 Trim 2007","1 Trim 2008","2 Trim 2008","3 Trim 2008","4 Trim 2008","1 Trim 2009","2 Trim 2009","3 Trim 2009","4 Trim 2009","1 Trim 2010","2 Trim 2010","3 Trim 2010","4 Trim 2010","1 Trim 2011","2 Trim 2011","3 Trim 2011","4 Trim 2011","1 Trim 2012","2 Trim 2012","3 Trim 2012","4 Trim 2012","1 Trim 2013","2 Trim 2013","3 Trim 2013","4 Trim 2013","1 Trim 2014","2 Trim 2014","3 Trim 2014","4 Trim 2014","1 Trim 2015","2 Trim 2015","3 Trim 2015","4 Trim 2015","1 Trim 2016","2 Trim 2016","3 Trim 2016","4 Trim 2016","1 Trim 2017","2 Trim 2017","3 Trim 2017","4 Trim 2017","1 Trim 2018","2 Trim 2018"
"1","CABA","agro","AR-B","Buenos Aires",8438,7771,7823,8310,9091,8180,8418,8836,9254,10357,8527,8435,8487,8653,8208,7705,4664,4497,4394,4351,4379,4283,4371,4411,4258,4279,4364,4506,4415,4568,4634,4748,4880,5062,5370,5543,5479,5716,6101,6273,6424,6773,6967,7096,7357,7327,7641,7858,8005,8150,8385,8314,8436,8032,7965,8116,8627,8595,8519,8699,9082,8878,8968,9156,9141,9408,9469,9595,9498,9570,9497,9486,9311,9225,9303,9278,9201,9215,9022,9184,8911,8875,9244,9405,9262,9227,9307,9292,9424,9405
"2","CABA","com","AR-B","Buenos Aires",127463.376241804,129690.240413965,131787.067629666,133843.422834298,136606.783200031,140964.606024931,145382.483692821,149329.508296034,151905.965728422,157715.725119971,153329.462128481,153759.726802861,156990.71037325,160434.438257733,159442.181000363,160762.101401378,150031.808273609,149692.958100423,152514.342811897,150710.551369786,149876.260786067,147757.272406503,143340.962082358,137389.156895793,130645.204131721,125502.282612579,122011.357826555,121214.185815028,123532.317713824,126833.438499005,131509.99905226,136260.869311808,141735.707671001,147515.29004027,155152.97232067,160376.989417697,165040.714830059,169967.338154332,174055.103757124,178106.725825678,182253.772487008,186703.697768366,191708.275445088,197496.082135336,203914.568660598,207147.118315349,212115.353860215,218414.907809368,218695.377219845,224384.562579961,226581.424190656,224783.630697334,222336.434563409,221097.072162241,220127.271090798,220973.447096604,223764.527596114,226948.77606188,230234.161188954,232247.930696808,233488.297419275,235576.792443035,238007.187604652,239451.200937791,239740.930906704,238962.01655348,237657.765174492,237207.035609386,237138.800506947,235977.247988602,234492.469629034,233419.953341529,232888.497511594,231370.555253252,233413.984266996,234412.409952124,234710.809457423,236281.331339596,237988.307217857,238586.254289899,240716.331339827,240124.521765849,239133.375747102,238263.74257887,237397.81274547,238180.373536251,238177.127225269,238872.33436201,239880.955651093,239227.577373199
"3","CABA","const","AR-B","Buenos Aires",45112,45877,46282,46981,49716,51238,53608,55860,57002,59559,59367,60782,62391,63364,62296,63040,56187,53845,53155,53570,51728,49677,45469,39766,30238,26275,25730,26115,27115,28803,31453,34263,36466,38745,42177,45718,49451,52945,57817,63828,67233,70605,74083,78153,82024,87836,90631,89703,90050,92791,92193,89409,84832,82982,82369,81066,81592,83190,84169,85594,86430,87886,89686,90970,89624,89069,87430,87194,88114,89921,89334,85710,85393,86064,87231,87190,87854,89090,87370,84556,82906,82068,85050,87582,90169,92218,95133,97274,99627,100999
"4","CABA","ind","AR-B","Buenos Aires",183139,186635,186263,189408,189567,193133,193799,195522,195146,203366,198945,196924,196468,194927,192647,196074,171281,168450,166899,165434,162751,160501,157444,152107,143204,138751,136854,139048,140412,142724,149089,155351,159118,162849,168215,172837,175894,180476,184250,189305,191592,196371,199812,206076,207770,210011,214996,219345,219357,221323,223349,223703,220056,216959,215572,216505,215896,218099,219851,221858,220667,221357,222814,224832,221839,220176,218386,218123,215993,215682,215603,216328,215428,213344,212877,213076,213742,216078,216425,216863,214602,211975,208870,207373,204267,201986,200805,200299,197706,192642
"5","CABA","ot_bs","AR-B","Buenos Aires",15037,15213,14936,14987,15414,15833,15335,14908,14910,15063,14385,14236,13980,13127,13332,13133,10541,10360,10052,12428,12387,12607,12730,12430,12087,12037,11896,11845,11842,12061,12288,12361,12351,12591,12670,12714,12830,13191,13645,13763,13729,13817,14197,14322,14711,16795,17271,17628,18188,18374,18456,18439,18076,17913,17987,18349,18299,18324,18361,18699,18923,19079,19398,19789,20104,20198,20249,20370,20672,20746,21251,21922,22405,23137,23524,24021,24360,24611,24832,25453,25434,25177,25183,24986,25299,25335,25481,25590,26071,27094
"6","CABA","ot_ss","AR-B","Buenos Aires",597811.175904698,608374.608634956,619166.744406946,626078.796908679,640760.201768446,658816.578628107,671841.598031062,689234.624759832,704181.647382286,712762.961064732,702932.550867788,707134.516205653,712233.045002993,718345.934987933,719493.380236768,731169.604785711,713102.12941165,711006.381896217,718815.165820228,727733.262274993,725517.317775786,719515.222363485,704983.201768019,683809.751791248,660970.571163798,643053.195094769,635047.010705351,631456.60967661,639954.317463694,648523.308089854,659960.04641375,675684.074685421,692917.91652296,708943.432871876,734754.101126561,752447.746092132,773278.546375697,791825.845617793,810571.954905205,828052.863431373,842997.549641744,858795.859454939,873602.155766735,892078.580398823,911508.022613739,930201.136427721,949282.854299003,968891.220665781,985289.929648737,1001466.73288174,1007270.74219842,999456.586303512,988839.664182232,982585.484188765,981355.022396506,985358.788209535,994276.58896893,995313.164494741,1002550.34137693,1011996.07618822,1019561.49181466,1028995.14247721,1034279.84245701,1033765.49782739,1034555.45087728,1031212.89879256,1030559.41006795,1031743.51433908,1033773.53318355,1031611.70350604,1032881.92608109,1037425.20432042,1036085.8784453,1034815.89443683,1035465.46892191,1037094.15919835,1043708.93600619,1053757.96384828,1061178.27912398,1059874.24699121,1060729.48537316,1060658.17849883,1058440.92853005,1061385.24946139,1065593.24507445,1070521.52482077,1078576.76441839,1082771.58501816,1084229.68561779,1081134.94808798
"7","CABA","pesca","AR-B","Buenos Aires",1675,1536,1674,1813,1816,1424,1599,1663,1792,1084,974,1084,1128,806,1015,1064,450,313,329,491,449,291,428,546,573,418,608,873,670,784,1043,1100,905,782,1143,1089,825,788,1139,1211,783,707,1194,1251,994,802,1057,1125,1086,809,975,1040,840,717,828,876,746,784,773,786,635,764,772,752,597,636,674,647,515,434,503,572,499,449,547,589,479,462,487,503,470,453,523,529,419,451,515,444,427,485
"8","CABA","Total Nacional","AR-B","Buenos Aires",981987.552146502,998182.849048921,1011319.81203661,1024795.21974298,1046255.98496848,1072679.18465304,1093727.08172388,1119843.13305587,1139070.61311071,1164948.6861847,1144273.01299627,1148368.24300851,1158067.75537624,1167202.37324567,1163847.56123713,1181065.70618709,1117637.93768526,1110209.33999664,1119243.50863213,1125813.81364478,1118721.57856185,1106384.49476999,1080647.16385038,1042860.90868704,995341.775295519,963712.477707348,949791.368531906,948395.795491638,961084.635177518,977534.746588859,1003024.04546601,1032887.94399723,1061612.62419396,1089967.72291215,1133906.07344723,1138011.73550983,1169968.26120576,1201718.18377213,1233934.05866233,1266776.58925705,1291283.32212875,1319955.55722331,1347366.43121182,1382150.66253416,1413567.59127434,1443324.25474307,1475723.20815922,1505337.12847515,1522483.30686858,1548924.2954617,1558754.16638908,1546706.21700085,1525340.09874564,1512372.55635101,1508216.2934873,1512895.23530614,1524902.11656504,1532929.94055662,1546096.50256588,1561181.00688503,1569863.78923394,1583456.93492024,1594527.03006166,1598926.69876518,1595497.38178398,1589463.91534604,1584176.17524244,1584509.54994847,1585032.3336905,1583195.95149464,1582311.39571012,1582941.15766195,1579605.37595689,1575268.44969008,1578837.45318891,1581639.56915047,1589695.74546361,1604884.29518788,1612470.58634184,1609566.50128111,1608334.81671299,1604153.70026468,1601261.30427715,1604537.99204026,1607108.05781992,1612583.89835702,1622513.89164366,1628952.91938017,1631294.64126888,1623893.52546118
"9","Catamarca","agro","AR-K","Catamarca",859.812441635642,989.868741201314,1143.64139955581,1257.40031359361,1341.05511997948,1522.85580545148,1709.71987454369,1848.12142557992,2092.89334902232,2309.53910664329,2319.76816700153,2401.25095472955,2501.60253866032,2473.18096112269,2537.41586900628,2915.56354483802,2203.80526203669,2241.17439422361,2233.65611029289,2257.29131032191,2157.95996175713,2133.5844489178,2204.6105120859,2205.1222169536,1954.10959233488,1893.40468844306,2159.95336718613,2310.99705034121,2432.49096706463,2365.69473961215,2342.14744000831,2588.65148223035,2563.39211509862,2544.18543853719,2719.00861738162,2951.91276815807,3837.69207306964,3802.24108616276,3342.42393416252,3511.76454471953,3608.68806780548,3602.46466539644,3899.36891384043,4058.21530043134,5072.94521862885,4897.27885783207,4265.89182719646,4308.1209012701,4801.92790433859,5106.21968731345,4617.88052160089,4373.29501771297,3676.83230259576,3368.8263243676,3982.88943771478,4256.57400058764,4563.03138254307,5018.9453296085,4484.4860352274,3931.42153152759,4395.70965998855,4612.84535412198,4048.85663194715,3682.44346601796,2992.9787691258,2412.25480502567,2740.83373227103,2930.70570816356,3063.44169315398,3443.06833812944,3236.2424857976,2751.26347256001,2282.93471977561,2019.69941122629,2271.03944229831,2475.09202607698,2711.13552661727,2934.07417044773,2450.53268844157,2303.06662728777,2131.96990752261,1812.86256520115,2052.83864886146,2150.71362674209,2379.02311022077,2526.56783672305,2444.83331626403,2232.91238036958,1875.23595030637,1801.55338839085
"10","Catamarca","com","AR-K","Catamarca",2547,2635,2663,2750,2836,2924,3014,3093,3099,3767,3696,3593,3689,3696,3657,3960,3348,3308,3338,3365,3356,3357,3497,3539,3416,3246,3196,3054,3037,3082,3240,3334,3453,3510,3499,3650,3727,3810,3835,3978,4125,4176,4325,4545,4573,4530,4679,5066,4940,5163,5216,5242,5242,5266,5284,5280,5384,5359,5388,5421,5372,5678,5560,5637,5728,5777,5747,5788,5841,5867,6113,6308,6383,6293,6287,6320,6641,6467,6643,6580,6627,6493,6454,6613,6806,6894,6792,6781,6769,6711
"11","Catamarca","const","AR-K","Catamarca",2315,4315,5073,6570,5764,5904,4353,2999,2751,3026,2741,2576,2618,2428,2199,2344,1477,1440,1739,1644,1330,1431,1275,1229,886,733,692,744,784,766,1001,1179,1081,1088,1664,2399,2300,2387,3165,3150,3277,2998,2653,2479,2920,3371,3400,3331,3396,3375,3534,3599,3366,2894,2687,2596,2401,2239,2301,2218,2269,2394,2333,2319,2410,2190,2262,2455,2503,2705,3032,3086,2932,2997,3111,3211,3124,3093,2940,2582,2053,2093,2225,2345,2595,3013,3040,3105,2859,2905
"12","Catamarca","ind","AR-K","Catamarca",5181,4937,5025,5631,6265,5966,5827,6525,6543,7023,6928,7202,7160,7631,7687,8608,6490,6376,6145,6265,5831,5829,5820,5719,5237,5085,5195,5300,5478,5527,5520,5684,6081,6172,6131,6185,6456,6675,6625,6823,6782,6827,6770,6745,6689,6823,6696,6713,6525,6629,6402,6270,6489,6365,6413,6505,6542,6789,6997,6733,6935,6905,6982,6847,6827,6910,6728,6962,6766,6847,6817,6906,6791,7361,7276,7269,7078,6984,6789,6704,6526,6458,6351,6326,6484,6518,6358,6097,6013,5765
"13","Catamarca","ot_bs","AR-K","Catamarca",450,502,490,501,513,511,706,681,712,977,1129,1424,1329,1313,1312,929,427,429,471,446,363,437,491,450,447,385,406,406,409,399,434,506,551,533,539,545,606,719,760,752,731,761,820,778,710,711,744,740,2065,2091,2104,2093,663,604,584,578,1957,2019,2025,2125,751,738,736,1016,757,1046,789,803,819,840,832,826,819,843,854,877,867,879,887,891,875,891,906,902,908,974,919,970,993,994
"14","Catamarca","ot_ss","AR-K","Catamarca",5208.56099118819,5416.37871542242,5536.41655985137,5590.43520964015,5732.26155692811,5875.79800989814,6349.41439879788,6429.06966404555,6630.13532656553,7670.9839169587,7524.14183030457,7779.82338143585,7992.03740410311,8784.29388701621,8641.54445657256,9143.12984156284,7406.89672734004,6995.69677628844,7157.35231226501,7143.56345931718,7068.9841991263,7119.99534944582,7010.48781031636,6840.40976434864,6558.86259078371,6317.33775751721,6398.74016426723,6223.67079302828,6573.64361886586,6667.85056804279,6651.76294464004,6729.30637526125,6704.82426659033,6818.9295130368,7104.17331249546,6975.42517191576,7420.77634412695,7670.62328736572,7784.07117473285,8158.37069863541,7970.39662022865,8011.63303878131,8065.96312611264,8179.66403846319,8426.98294627311,8790.64438601143,8998.45237580615,9581.64249681785,9687.70205501272,9784.37132493702,10070.8912005398,9695.56441558706,10303.9770181659,9928.95750181136,9961.45225846336,10055.328948882,10012.882613669,10001.6550977246,10066.5942963847,10333.6058703305,10510.7199376604,10773.5218265885,10788.669718181,11137.8086757249,11164.2454017981,11240.3793918125,11414.8949413238,11483.9986419186,11675.1706872127,11534.1546658753,11747.5098491236,11445.9543699695,11416.2385461039,11568.8700067999,11372.7490262221,11445.3839134887,11670.3412223263,11772.3959002577,12126.3566835821,12220.4933396823,12015.577270861,11759.4107930239,11638.2960891054,11747.4309827267,12103.1055812043,12576.0977678056,12412.1276102131,12346.2453175216,12436.0221128814,12239.2990279908
